Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
1.0,BOG,66,112,1212,112,1010,102,0,37,1111,Lobby 1,Round_1,,,,,Split_1,APAC_South
2.0,LH,55,37,55,82,22,54,1616,29,1010,Lobby 1,Round_1,,,,,Split_1,APAC_South
3.0,4ChineseHorseman,53,29,88,29,99,37,1111,170,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
4.0,DREAM,43,63,66,37,55,131,44,54,1313,Lobby 1,Round_1,,,,,Split_1,APAC_South
5.0,CKB,35,45,88,73,1212,111,11,141,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
6.0,Scythe,33,151,0,54,44,112,1010,92,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
7.0,SuperiorSoySauce,23,180,0,92,33,29,55,131,33,Lobby 1,Round_1,,,,,Split_1,APAC_South
8.0,LNW,20,82,55,170,0,45,55,102,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
9.0,Another Support,19,111,0,111,0,190,0,112,55,Lobby 1,Round_1,,,,,Split_1,APAC_South
10.0,DESI,15,190,0,63,66,73,0,63,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
11.0,Quentiam,14,73,55,121,33,141,0,151,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
12.0,South Cartel,14,121,0,160,22,92,0,45,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
13.0,Team Vicity,13,92,0,45,0,63,22,121,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
14.0,Sanity,12,102,11,131,0,170,11,111,66,Lobby 1,Round_1,,,,,Split_1,APAC_South
15.0,X SPLITS,10,54,22,102,11,151,0,200,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
16.0,MXT,6,200,0,200,0,180,11,73,22,Lobby 1,Round_1,,,,,Split_1,APAC_South
17.0,WINGS,5,170,11,141,33,160,0,190,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
18.0,Lags Fault,4,131,22,190,0,121,0,180,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
19.0,Sayu Supermacy,4,160,0,180,0,82,0,82,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
20.0,Alco,3,141,11,151,0,200,0,160,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
1.0,R.Harmony,57,112,1010,112,1414,121,0,102,66,Lobby 2,Round_1,,,,,Split_1,APAC_South
2.0,IFPD,50,141,22,190,0,112,1212,112,1111,Lobby 2,Round_1,,,,,Split_1,APAC_South
3.0,END,40,160,55,45,77,45,1010,73,55,Lobby 2,Round_1,,,,,Split_1,APAC_South
4.0,Juiced,31,54,33,92,44,73,66,92,77,Lobby 2,Round_1,,,,,Split_1,APAC_South
5.0,DYN,31,45,55,37,66,82,33,63,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
6.0,Inferno DRT,31,63,11,102,11,37,99,45,33,Lobby 2,Round_1,,,,,Split_1,APAC_South
7.0,SLK,27,111,22,63,55,102,33,29,22,Lobby 2,Round_1,,,,,Split_1,APAC_South
8.0,RNG,23,170,11,160,11,63,11,37,1010,Lobby 2,Round_1,,,,,Split_1,APAC_South
9.0,Sigma Gamers,23,73,22,111,0,29,77,151,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
10.0,Omnity,22,29,55,180,11,131,33,131,22,Lobby 2,Round_1,,,,,Split_1,APAC_South
11.0,Evolution NewGen,19,151,0,29,33,141,0,54,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
12.0,UNX,18,92,44,54,66,151,0,111,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
13.0,Wake Up Late,14,37,33,151,11,190,0,121,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
14.0,DSK,11,190,0,141,44,92,11,160,33,Lobby 2,Round_1,,,,,Split_1,APAC_South
15.0,NANYANG,11,82,55,82,22,180,0,190,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
16.0,Arcadian,9,102,33,121,11,111,0,180,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
17.0,GOD OF DREAM,8,200,0,73,11,160,0,82,22,Lobby 2,Round_1,,,,,Split_1,APAC_South
18.0,Cookies,4,180,0,170,0,54,0,170,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
19.0,Nitrogen Oxide,3,121,0,131,0,200,0,141,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
20.0,Baron,1,131,0,200,0,170,0,200,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
1.0,Job Seekers,81,111,99,37,1111,29,1111,112,2121,Lobby 3,Round_1,,,,,Split_1,APAC_South
2.0,AU Skyrise,65,112,1515,112,99,63,1313,131,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
3.0,Antiaa,44,45,55,29,33,45,44,92,1111,Lobby 3,Round_1,,,,,Split_1,APAC_South
4.0,SkarptSinne,37,73,44,54,11,112,55,37,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
5.0,LVTHN,22,121,11,63,22,92,0,29,44,Lobby 3,Round_1,,,,,Split_1,APAC_South
6.0,FLRV,22,29,33,102,0,54,0,63,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
7.0,September,21,180,0,131,77,37,55,121,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
8.0,Speed,18,54,55,111,11,102,33,102,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
9.0,ALZ,16,37,11,82,11,73,0,82,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
10.0,LAG,15,82,33,92,22,141,44,151,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
11.0,Teriyaki Boyz,15,63,44,151,0,82,44,111,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
12.0,Team Shinigami,13,102,11,180,0,151,0,45,44,Lobby 3,Round_1,,,,,Split_1,APAC_South
13.0,Nostalgic Ferets,12,160,0,141,33,121,0,54,33,Lobby 3,Round_1,,,,,Split_1,APAC_South
14.0,Wonders Esports,10,151,0,45,33,170,0,141,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
15.0,6969,9,92,0,170,0,131,0,73,33,Lobby 3,Round_1,,,,,Split_1,APAC_South
16.0,Team eXplicit,7,131,11,121,44,160,0,160,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
17.0,Pagan Patrol,5,141,0,73,0,111,0,170,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
18.0,Ace Players,0,190,0,200,0,200,0,200,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
19.0,Dark Rangers,0,200,0,200,0,200,0,200,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
20.0,dongsters,0,170,0,160,0,180,0,180,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
1.0,EMM,100,37,1515,29,1515,112,1616,112,1414,Lobby 4,Round_1,,,,,Split_1,APAC_South
2.0,Multicultural,44,112,77,63,0,54,33,29,66,Lobby 4,Round_1,,,,,Split_1,APAC_South
3.0,OGL,40,92,0,112,1111,45,22,54,44,Lobby 4,Round_1,,,,,Split_1,APAC_South
4.0,BTCxWGG,30,131,0,54,99,82,55,45,44,Lobby 4,Round_1,,,,,Split_1,APAC_South
5.0,Systematic,27,45,66,102,33,63,44,141,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
6.0,Masters Please,26,54,22,37,11,29,0,102,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
7.0,OC,21,73,0,92,66,92,33,92,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
8.0,C10H15N,21,29,55,170,0,73,33,151,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
9.0,Hardstucks,21,63,22,111,0,37,55,82,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
10.0,EVOLUTION BLACK,19,111,55,160,33,151,11,131,77,Lobby 4,Round_1,,,,,Split_1,APAC_South
11.0,delaynomore,15,170,0,131,0,102,55,63,44,Lobby 4,Round_1,,,,,Split_1,APAC_South
12.0,Astreaks Gaming,15,190,0,121,44,170,0,37,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
13.0,Triple Cobra,13,82,22,141,0,111,33,73,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
14.0,LightSaber,6,121,33,180,0,121,11,170,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
15.0,Gamerz,4,151,0,151,0,160,11,111,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
16.0,MY Shad0w,4,160,0,73,0,141,0,160,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
17.0,Elegants,3,141,0,82,0,190,0,200,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
18.0,TEXT XENION,2,200,0,200,0,131,0,121,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
19.0,Clipped,0,180,0,200,0,180,0,180,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
20.0,Sunda Gaming,0,200,0,200,0,200,0,200,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
1.0,IFPD,125,1,14,1,10,1,18,3,7,Lobby 1,Semifinals,2.0,7.0,8.0,15.0,Split_1,APAC_South
2.0,R.Harmony,71,7,4,8,6,4,8,4,6,Lobby 1,Semifinals,20.0,0.0,1.0,20.0,Split_1,APAC_South
3.0,DREAM,69,3,10,3,7,18,0,1,12,Lobby 1,Semifinals,3.0,6.0,15.0,0.0,Split_1,APAC_South
4.0,LH,52,11,3,5,10,5,2,7,0,Lobby 1,Semifinals,1.0,9.0,14.0,3.0,Split_1,APAC_South
5.0,CKB,43,2,3,2,2,16,6,11,0,Lobby 1,Semifinals,6.0,10.0,17.0,0.0,Split_1,APAC_South
6.0,4ChineseHorseman,41,5,8,10,0,10,4,18,3,Lobby 1,Semifinals,7.0,0.0,2.0,6.0,Split_1,APAC_South
7.0,RNG,31,6,0,15,3,8,1,2,8,Lobby 1,Semifinals,13.0,3.0,18.0,0.0,Split_1,APAC_South
8.0,DESI,31,19,0,14,2,2,4,5,2,Lobby 1,Semifinals,15.0,0.0,3.0,1.0,Split_1,APAC_South
9.0,BOG,29,14,1,6,1,15,1,9,3,Lobby 1,Semifinals,5.0,6.0,6.0,3.0,Split_1,APAC_South
10.0,END,29,9,5,7,3,14,2,16,2,Lobby 1,Semifinals,4.0,1.0,7.0,2.0,Split_1,APAC_South
11.0,DYN,23,10,0,9,0,7,2,6,5,Lobby 1,Semifinals,11.0,0.0,5.0,1.0,Split_1,APAC_South
12.0,Juiced,21,13,1,13,2,11,1,19,3,Lobby 1,Semifinals,17.0,0.0,4.0,6.0,Split_1,APAC_South
13.0,LNW,18,4,2,11,3,12,3,8,0,Lobby 1,Semifinals,19.0,0.0,12.0,0.0,Split_1,APAC_South
14.0,Scythe,16,15,4,19,2,6,4,20,0,Lobby 1,Semifinals,10.0,0.0,19.0,0.0,Split_1,APAC_South
15.0,SuperiorSoySauce,13,17,0,12,2,19,0,12,0,Lobby 1,Semifinals,14.0,8.0,20.0,0.0,Split_1,APAC_South
16.0,Omnity,13,16,0,4,1,20,0,10,2,Lobby 1,Semifinals,18.0,0.0,10.0,1.0,Split_1,APAC_South
17.0,Sigma Gamers,13,20,1,20,0,3,2,17,0,Lobby 1,Semifinals,12.0,0.0,9.0,0.0,Split_1,APAC_South
18.0,Another Support,12,8,0,17,1,9,0,13,0,Lobby 1,Semifinals,8.0,3.0,13.0,0.0,Split_1,APAC_South
19.0,Inferno DRT,10,12,0,16,3,17,0,15,0,Lobby 1,Semifinals,16.0,3.0,11.0,1.0,Split_1,APAC_South
20.0,SLK,8,18,0,18,0,13,0,14,0,Lobby 1,Semifinals,9.0,4.0,16.0,0.0,Split_1,APAC_South
1.0,EMM,103,6,1,5,15,1,18,1,17,Lobby 2,Semifinals,15.0,0.0,3.0,13.0,Split_1,APAC_South
2.0,Antiaa,80,10,9,6,9,5,2,4,7,Lobby 2,Semifinals,1.0,13.0,2.0,5.0,Split_1,APAC_South
3.0,OC,57,1,11,15,0,9,3,7,2,Lobby 2,Semifinals,11.0,2.0,1.0,8.0,Split_1,APAC_South
4.0,BTCxWGG,51,14,1,2,7,2,6,16,0,Lobby 2,Semifinals,2.0,4.0,5.0,1.0,Split_1,APAC_South
5.0,Multicultural,41,4,4,10,1,3,5,2,3,Lobby 2,Semifinals,17.0,0.0,6.0,2.0,Split_1,APAC_South
6.0,Job Seekers,39,13,3,1,11,7,2,5,3,Lobby 2,Semifinals,18.0,0.0,17.0,0.0,Split_1,APAC_South
7.0,AU Skyrise,36,18,3,17,1,4,12,9,2,Lobby 2,Semifinals,4.0,2.0,13.0,3.0,Split_1,APAC_South
8.0,Systematic,34,8,2,7,3,13,0,8,8,Lobby 2,Semifinals,8.0,9.0,10.0,0.0,Split_1,APAC_South
9.0,Hardstucks,32,5,5,11,0,16,0,10,0,Lobby 2,Semifinals,7.0,10.0,14.0,6.0,Split_1,APAC_South
10.0,OGL,26,9,5,13,1,8,0,6,3,Lobby 2,Semifinals,3.0,0.0,8.0,0.0,Split_1,APAC_South
11.0,EVOLUTION BLACK,25,3,6,19,0,10,4,12,0,Lobby 2,Semifinals,12.0,0.0,12.0,3.0,Split_1,APAC_South
12.0,Speed,21,2,5,4,0,15,0,15,0,Lobby 2,Semifinals,16.0,0.0,16.0,0.0,Split_1,APAC_South
13.0,September,18,11,2,9,0,14,0,18,0,Lobby 2,Semifinals,9.0,7.0,7.0,0.0,Split_1,APAC_South
14.0,SkarptSinne,17,15,0,8,2,18,0,13,0,Lobby 2,Semifinals,13.0,1.0,4.0,4.0,Split_1,APAC_South
15.0,LVTHN,17,12,1,3,3,17,0,11,0,Lobby 2,Semifinals,6.0,0.0,15.0,0.0,Split_1,APAC_South
16.0,Teriyaki Boyz,16,20,0,12,0,11,1,3,4,Lobby 2,Semifinals,14.0,0.0,11.0,0.0,Split_1,APAC_South
17.0,ALZ,14,7,0,14,0,6,0,14,0,Lobby 2,Semifinals,5.0,2.0,20.0,0.0,Split_1,APAC_South
18.0,FLRV,8,19,0,18,0,12,0,17,1,Lobby 2,Semifinals,10.0,0.0,9.0,2.0,Split_1,APAC_South
19.0,C10H15N,1,17,0,16,1,20,0,20,0,Lobby 2,Semifinals,20.0,0.0,20.0,0.0,Split_1,APAC_South
20.0,Masters Please,0,16,0,20,0,20,0,20,0,Lobby 2,Semifinals,20.0,0.0,20.0,0.0,Split_1,APAC_South
1.0,DREAM,68,18,3,1,12,4,5,9,1,Lobby 1,Finals,11.0,1.0,2.0,17.0,Split_1,APAC_South
2.0,EMM,57,5,4,9,3,2,14,5,6,Lobby 1,Finals,7.0,4.0,16.0,4.0,Split_1,APAC_South
3.0,Antiaa,50,13,2,12,4,1,12,10,2,Lobby 1,Finals,13.0,3.0,4.0,5.0,Split_1,APAC_South
4.0,IFPD,47,15,2,4,8,20,0,18,2,Lobby 1,Finals,4.0,11.0,3.0,6.0,Split_1,APAC_South
5.0,BOG,47,2,7,18,0,3,1,1,10,Lobby 1,Finals,19.0,0.0,12.0,0.0,Split_1,APAC_South
6.0,END,45,1,8,17,0,17,1,4,1,Lobby 1,Finals,3.0,6.0,10.0,3.0,Split_1,APAC_South
7.0,OC,43,3,8,2,8,14,1,8,5,Lobby 1,Finals,15.0,0.0,13.0,0.0,Split_1,APAC_South
8.0,LH,42,11,9,3,8,10,5,6,1,Lobby 1,Finals,10.0,0.0,7.0,1.0,Split_1,APAC_South
9.0,Job Seekers,40,10,1,6,3,13,0,17,3,Lobby 1,Finals,1.0,9.0,8.0,4.0,Split_1,APAC_South
10.0,Multicultural,32,17,0,14,0,5,9,2,2,Lobby 1,Finals,12.0,2.0,15.0,3.0,Split_1,APAC_South
11.0,Systematic,32,20,0,5,3,7,1,14,0,Lobby 1,Finals,14.0,0.0,1.0,7.0,Split_1,APAC_South
12.0,4ChineseHorseman,31,12,3,7,2,19,0,3,6,Lobby 1,Finals,8.0,7.0,19.0,0.0,Split_1,APAC_South
13.0,R.Harmony,29,4,3,13,5,16,3,15,3,Lobby 1,Finals,5.0,4.0,18.0,0.0,Split_1,APAC_South
14.0,CKB,26,9,1,20,0,11,0,7,6,Lobby 1,Finals,9.0,3.0,5.0,4.0,Split_1,APAC_South
15.0,DESI,21,6,0,8,0,6,0,11,4,Lobby 1,Finals,6.0,2.0,6.0,0.0,Split_1,APAC_South
16.0,OGL,20,19,0,10,1,8,0,12,0,Lobby 1,Finals,2.0,3.0,9.0,0.0,Split_1,APAC_South
17.0,AU Skyrise,19,14,2,16,0,9,6,13,4,Lobby 1,Finals,16.0,0.0,11.0,2.0,Split_1,APAC_South
18.0,RNG,6,7,0,15,0,18,0,16,0,Lobby 1,Finals,18.0,0.0,17.0,2.0,Split_1,APAC_South
19.0,Hardstucks,5,8,2,19,0,12,0,19,0,Lobby 1,Finals,20.0,0.0,20.0,0.0,Split_1,APAC_South
20.0,BTCxWGG,4,16,0,11,0,15,1,20,0,Lobby 1,Finals,17.0,0.0,14.0,0.0,Split_1,APAC_South
1.0,Job Seekers,58,29,66,112,1313,37,22,73,66,Lobby 1,Round_1,,,,,Split_1,APAC_South
2.0,IFPD,56,112,1111,73,22,54,11,112,1111,Lobby 1,Round_1,,,,,Split_1,APAC_South
3.0,DREAM,45,37,1111,54,0,112,99,111,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
4.0,NANYANG,33,73,55,37,33,45,55,121,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
5.0,MXT,28,141,33,160,22,92,77,92,1111,Lobby 1,Round_1,,,,,Split_1,APAC_South
6.0,HEK TEW,26,92,0,29,77,82,11,45,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
7.0,CKB,25,111,0,141,0,29,1212,102,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
8.0,Systematic,23,45,33,131,0,111,0,29,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
9.0,LNW,22,121,22,63,11,63,66,63,33,Lobby 1,Round_1,,,,,Split_1,APAC_South
10.0,DVG,21,170,0,45,77,141,0,54,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
11.0,DYN,20,63,11,82,44,102,0,37,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
12.0,OSP,15,102,22,102,55,73,0,160,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
13.0,Team eXplicit,11,54,11,151,0,121,11,151,22,Lobby 1,Round_1,,,,,Split_1,APAC_South
14.0,Petarunxx,9,151,0,92,33,151,0,131,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
15.0,Triads,6,131,33,111,0,170,0,141,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
16.0,Wonders Esports,6,82,22,170,0,160,0,82,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
17.0,SuperiorSoySauce,4,160,0,121,0,131,22,170,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
18.0,SW1PE,0,200,0,200,0,200,0,200,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
19.0,SLK,0,180,0,200,0,200,0,200,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
1.0,BOG,92,29,66,112,99,112,88,112,2424,Lobby 2,Round_1,,,,,Split_1,APAC_South
2.0,AU Skyrise,75,112,2323,29,1313,131,66,54,77,Lobby 2,Round_1,,,,,Split_1,APAC_South
3.0,4ChineseHorseman,36,151,22,37,22,45,77,29,33,Lobby 2,Round_1,,,,,Split_1,APAC_South
4.0,OGL,33,82,0,102,88,29,55,82,55,Lobby 2,Round_1,,,,,Split_1,APAC_South
5.0,Quentiam,25,54,44,63,44,111,44,73,22,Lobby 2,Round_1,,,,,Split_1,APAC_South
6.0,END,25,73,33,92,0,37,88,92,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
7.0,6969,18,45,11,160,33,151,0,45,33,Lobby 2,Round_1,,,,,Split_1,APAC_South
8.0,TEXT XENION,15,111,33,54,44,180,22,121,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
9.0,EVO.Supreme,15,160,33,141,22,121,0,37,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
10.0,September,15,37,0,180,0,102,66,160,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
11.0,Lags Fault,12,63,11,73,11,92,0,102,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
12.0,PAKORAS,11,141,22,82,11,141,0,63,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
13.0,X SPLITS,9,170,11,45,11,82,0,170,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
14.0,FLRV,8,180,0,131,0,73,33,111,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
15.0,ALZ,8,121,0,121,11,54,0,131,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
16.0,Freedom,7,92,22,151,0,160,0,151,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
17.0,1ㄟ必取要不要打APEX,7,131,0,111,0,63,0,141,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
18.0,Wake Up Late,3,102,0,170,0,170,11,180,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
1.0,BTCxWGG,71,112,1313,45,1515,131,0,112,1313,Lobby 3,Round_1,,,,,Split_1,APAC_South
2.0,Multicultural,61,37,1212,63,22,112,1313,45,77,Lobby 3,Round_1,,,,,Split_1,APAC_South
3.0,EMM,47,73,22,54,44,121,55,29,1919,Lobby 3,Round_1,,,,,Split_1,APAC_South
4.0,LH,39,141,33,112,1111,45,44,73,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
5.0,Soosmar slayer,28,111,0,29,55,63,55,63,22,Lobby 3,Round_1,,,,,Split_1,APAC_South
6.0,Evolution NewGen,27,45,22,131,33,29,77,190,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
7.0,Inferno DRT,25,92,44,37,11,37,33,151,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
8.0,DNT,24,29,77,111,33,160,44,170,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
9.0,R.Harmony,21,160,0,102,44,111,33,37,44,Lobby 3,Round_1,,,,,Split_1,APAC_South
10.0,C00kedGamingClan,15,54,44,82,11,92,11,160,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
11.0,Sayu Supermacy,13,63,0,121,0,73,0,54,22,Lobby 3,Round_1,,,,,Split_1,APAC_South
12.0,Sanity,12,170,0,73,11,141,44,92,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
13.0,Arcadian,10,131,0,92,0,102,11,131,33,Lobby 3,Round_1,,,,,Split_1,APAC_South
14.0,Kardinals,9,180,0,180,0,54,22,82,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
15.0,Astreaks Gaming,6,102,44,170,0,190,0,180,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
16.0,EVOLUTION BLACK,5,82,0,141,0,170,0,141,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
17.0,Triple Cobra,4,121,0,160,0,82,0,121,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
18.0,SkarptSinne,3,190,0,200,0,151,0,111,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
19.0,Informal Squad,3,151,0,200,0,180,0,102,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
1.0,Juiced,60,54,88,29,88,112,99,63,77,Lobby 4,Round_1,,,,,Split_1,APAC_South
2.0,Antiaa,54,63,66,63,66,29,77,112,88,Lobby 4,Round_1,,,,,Split_1,APAC_South
3.0,Overclocked,52,29,1414,45,66,73,88,37,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
4.0,OC,35,37,55,112,99,111,11,170,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
5.0,South Cartel,31,160,22,170,44,141,33,29,1212,Lobby 4,Round_1,,,,,Split_1,APAC_South
6.0,GOD OF DREAM,30,112,55,151,11,37,0,131,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
7.0,GBR,29,73,0,121,66,45,88,73,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
8.0,Sigma Gamers,23,141,33,92,22,54,44,54,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
9.0,CRYPTICUS,17,180,0,37,33,92,33,151,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
10.0,Hardstucks,14,45,55,180,0,160,0,121,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
11.0,DESI,14,111,0,82,11,63,22,92,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
12.0,Just Send It,13,102,0,54,33,102,0,111,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
13.0,LightSaber,12,170,0,131,0,151,33,82,55,Lobby 4,Round_1,,,,,Split_1,APAC_South
14.0,LAG,8,151,0,160,0,131,0,45,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
15.0,LVTHN,7,92,0,73,0,121,11,180,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
