C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
1.0,G2,65,19,0,1,7,1,6,17,0,1,14,11,1,Round 10,,,,,
2.0,OXG,59,4,6,2,4,11,0,10,1,2,6,2,7,Round 10,,,,,
3.0,TOR,53,17,0,3,6,4,3,1,5,15,0,3,7,Round 10,,,,,
4.0,FUR,46,10,0,15,3,17,2,3,14,9,5,4,5,Round 10,,,,,
5.0,SEN,46,6,3,4,10,3,6,15,1,13,4,13,4,Round 10,,,,,
6.0,100T,45,2,7,10,6,8,6,4,2,7,2,15,0,Round 10,,,,,
7.0,SSG,45,7,0,6,2,9,1,19,0,4,5,1,12,Round 10,,,,,
8.0,ESA,37,1,7,8,4,5,1,5,1,17,2,16,0,Round 10,,,,,
9.0,XSET,36,5,8,14,1,6,7,16,2,5,1,9,3,Round 10,,,,,
10.0,COL,34,8,3,7,1,2,6,6,3,12,0,8,1,Round 10,,,,,
11.0,DY,33,18,0,11,3,14,0,2,11,11,0,5,3,Round 10,,,,,
12.0,EST,32,3,8,5,1,12,0,11,5,19,0,6,2,Round 10,,,,,
13.0,RT,22,13,3,17,1,15,0,8,3,8,6,12,2,Round 10,,,,,
14.0,SNRS,21,9,2,19,0,13,8,14,0,10,0,10,3,Round 10,,,,,
15.0,NEAN,18,12,1,16,0,16,0,7,2,3,3,14,0,Round 10,,,,,
16.0,BAD,17,16,0,13,0,10,4,12,1,6,0,7,2,Round 10,,,,,
17.0,SXG,16,11,3,18,2,7,1,13,0,14,4,17,0,Round 10,,,,,
18.0,CLG,9,14,2,12,0,19,0,9,3,18,0,18,0,Round 10,,,,,
19.0,BBG,7,15,0,9,0,18,0,18,0,16,3,19,1,Round 10,,,,,
20.0,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 10,,,,,
,100T,84,8,1,7,5,11,0,1,13,1,11,1,12,Round 11,1.0,,,,
,NRG,60,9,4,1,15,12,2,15,0,7,11,6,6,Round 11,2.0,,,,
,FUR,52,5,1,8,0,2,4,5,2,3,3,2,7,Round 11,3.0,,,,
,UNL,47,1,10,15,0,4,1,8,1,2,3,10,1,Round 11,4.0,,,,
,G2,44,4,7,4,1,1,8,18,0,15,0,16,5,Round 11,5.0,,,,
,CLG,42,2,5,12,4,13,4,6,1,13,3,3,3,Round 11,6.0,,,,
,PGG,37,16,0,6,2,3,11,16,0,6,3,4,3,Round 11,7.0,,,,
,RNG,37,18,0,5,3,5,5,3,6,8,5,14,0,Round 11,8.0,,,,
,SSG,35,13,0,3,2,6,4,4,5,18,0,7,5,Round 11,9.0,,,,
,XSET,34,6,2,2,7,9,0,10,3,4,1,17,0,Round 11,10.0,,,,
,LMX,31,14,3,18,1,7,5,2,4,9,1,9,0,Round 11,11.0,,,,
,GHOST,27,7,5,13,4,8,3,7,0,10,2,8,0,Round 11,12.0,,,,
,ESA,25,10,5,11,0,15,0,9,10,12,3,18,0,Round 11,13.0,,,,
,ERA,23,3,0,17,3,17,1,14,2,16,0,5,5,Round 11,14.0,,,,
,BAD,22,15,2,10,2,10,0,12,1,5,3,12,3,Round 11,15.0,,,,
,NBL,10,12,1,16,0,14,1,13,0,11,2,11,1,Round 11,16.0,,,,
,LZR,8,11,2,9,0,16,0,17,0,14,0,13,1,Round 11,17.0,,,,
,NEAN,7,17,0,14,1,18,0,11,3,17,0,15,0,Round 11,18.0,,,,
,BW,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 11,19.0,,,,
,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 11,20.0,,,,
,DY,66,14,3,1,11,2,3,1,14,11,0,17,0,Round 12,,1.0,,,
,SEN,61,13,1,3,3,4,8,15,3,18,2,1,18,Round 12,,2.0,,,
,TSM,47,15,0,4,4,13,3,2,5,7,7,3,2,Round 12,,3.0,,,
,CLX,46,4,3,6,2,8,0,3,3,2,10,9,0,Round 12,,4.0,,,
,BP,45,10,3,11,0,14,0,6,9,1,14,20,0,Round 12,,5.0,,,
,TL,43,2,5,12,1,15,1,14,0,4,4,2,6,Round 12,,6.0,,,
,C9,41,3,6,18,1,5,7,5,5,6,4,18,0,Round 12,,7.0,,,
,COL,39,1,7,14,1,3,6,10,0,16,1,12,1,Round 12,,8.0,,,
,PK,34,20,0,19,3,1,15,9,0,17,0,10,0,Round 12,,9.0,,,
,OXG,32,6,1,2,5,7,1,7,2,9,2,13,0,Round 12,,10.0,,,
,TOR,30,11,4,9,6,12,0,4,5,19,3,7,0,Round 12,,11.0,,,
,BBG,26,9,1,10,6,16,1,11,2,12,2,6,5,Round 12,,12.0,,,
,CLT,26,12,5,16,2,10,1,12,2,3,3,14,1,Round 12,,13.0,,,
,RT,26,5,4,17,0,6,5,8,0,10,3,8,1,Round 12,,14.0,,,
,EST,23,18,1,5,4,18,0,19,0,5,0,4,5,Round 12,,15.0,,,
,MOAN,19,7,3,15,1,20,0,18,0,8,2,15,6,Round 12,,16.0,,,
,E8,17,8,3,8,4,9,3,16,0,15,0,16,0,Round 12,,17.0,,,
,SXG,14,17,0,20,0,11,1,13,6,14,0,11,3,Round 12,,18.0,,,
,SNRS,14,16,0,13,1,19,0,17,0,13,0,5,7,Round 12,,19.0,,,
,AM,8,19,0,7,3,17,2,20,0,20,0,19,0,Round 12,,20.0,,,
,SEN,92,1,8,8,8,1,12,6,4,2,10,8,10,Round 1,,,1.0,,
,NBL,58,2,6,20,0,4,4,4,3,9,2,1,10,Round 1,,,2.0,,
,SXG,48,15,0,7,11,19,0,18,3,1,17,11,0,Round 1,,,3.0,,
,RNG,46,7,3,15,0,10,6,2,4,6,9,7,3,Round 1,,,4.0,,
,LZR,44,11,5,2,5,3,1,5,2,7,1,4,1,Round 1,,,5.0,,
,PGG,41,4,7,4,1,17,0,12,3,14,0,2,9,Round 1,,,6.0,,
,COL,39,5,4,14,1,2,5,13,0,13,1,3,5,Round 1,,,7.0,,
,ERA,38,14,1,1,9,14,3,10,6,12,1,15,0,Round 1,,,8.0,,
,SNRS,31,3,7,3,2,5,2,14,0,17,1,20,0,Round 1,,,9.0,,
,LMX,29,13,0,5,0,11,1,1,8,11,1,16,0,Round 1,,,10.0,,
,DY,26,9,0,13,0,7,7,9,0,8,1,5,4,Round 1,,,11.0,,
,NRG,25,10,1,18,0,18,0,11,11,16,9,13,0,Round 1,,,12.0,,
,BW,25,18,0,9,4,16,0,3,5,10,0,12,4,Round 1,,,13.0,,
,OXG,22,16,3,19,2,12,2,8,0,3,1,14,3,Round 1,,,14.0,,
,GHOST,21,12,0,10,4,9,3,20,0,20,0,6,6,Round 1,,,15.0,,
,UNL,18,8,3,17,1,15,3,19,0,4,1,9,0,Round 1,,,16.0,,
,BBG,17,19,2,16,4,6,5,17,0,15,0,19,2,Round 1,,,17.0,,
,TOR,15,20,1,12,0,8,1,16,2,5,2,10,0,Round 1,,,18.0,,
,EST,14,17,0,6,2,13,1,7,3,18,1,17,0,Round 1,,,19.0,,
,RT,13,6,4,11,3,20,0,15,1,19,0,18,0,Round 1,,,20.0,,
,SSG,73,20,0,7,4,1,10,7,6,2,4,1,10,Round 2,,,,1.0,
,ESA,57,8,5,8,3,2,10,20,0,1,12,8,0,Round 2,,,,2.0,
,SHEESH,51,18,2,16,5,18,0,1,12,14,6,3,6,Round 2,,,,3.0,
,C9,46,7,10,20,0,19,1,10,6,4,10,4,4,Round 2,,,,4.0,
,TSM,45,1,7,6,7,11,5,19,3,13,3,13,2,Round 2,,,,5.0,
,CLT,42,13,4,3,3,7,0,13,5,6,5,5,6,Round 2,,,,6.0,
,E8,42,5,2,1,7,13,1,16,0,12,0,2,5,Round 2,,,,7.0,
,TL,40,14,0,5,5,10,6,5,5,9,2,7,6,Round 2,,,,8.0,
,G2,34,12,0,2,2,5,1,8,1,3,5,18,2,Round 2,,,,9.0,
,PK,32,4,7,4,8,15,0,15,1,20,0,12,3,Round 2,,,,10.0,
,100T,30,3,3,10,1,9,1,6,2,8,3,6,1,Round 2,,,,11.0,
,AM,28,6,9,9,3,8,3,18,0,10,1,10,1,Round 2,,,,12.0,
,XSET,27,9,0,18,2,12,0,2,4,5,2,11,2,Round 2,,,,13.0,
,NEAN,23,2,5,17,0,6,0,9,1,15,0,16,2,Round 2,,,,14.0,
,MOAN,20,15,0,12,1,3,8,17,1,19,0,14,0,Round 2,,,,15.0,
,FUR,17,16,0,11,0,14,2,3,4,11,1,19,0,Round 2,,,,16.0,
,BP,16,19,0,14,1,16,0,12,0,7,3,9,5,Round 2,,,,17.0,
,CLG,14,11,1,13,0,20,0,4,5,17,0,17,1,Round 2,,,,18.0,
,BAD,13,10,2,15,0,4,0,14,1,16,0,15,0,Round 2,,,,19.0,
,CLX,6,17,0,19,1,17,4,11,0,18,0,20,0,Round 2,,,,20.0,
,C9,97,13,4,1,9,3,12,1,8,2,15,5,4,Round 3,,,,,1.0
,NRG,78,2,11,2,4,1,10,6,10,14,4,8,3,Round 3,,,,,2.0
,RNG,59,12,9,15,3,15,1,13,8,8,5,1,15,Round 3,,,,,3.0
,TSM,43,3,7,11,4,9,6,3,5,9,2,20,0,Round 3,,,,,4.0
,AM,39,6,0,7,4,14,4,19,0,12,8,2,6,Round 3,,,,,5.0
,TL,38,9,4,10,5,12,2,5,6,10,1,4,4,Round 3,,,,,6.0
,CLT,38,1,5,4,10,13,1,14,0,15,1,11,0,Round 3,,,,,7.0
,BW,32,15,2,20,0,2,5,8,1,4,3,15,3,Round 3,,,,,8.0
,NBL,30,14,0,3,3,8,4,15,2,13,3,13,5,Round 3,,,,,9.0
,PK,27,11,2,16,3,19,1,10,7,6,4,16,4,Round 3,,,,,10.0
,LMX,25,17,0,8,2,16,0,17,0,3,6,6,5,Round 3,,,,,11.0
,UNL,25,19,0,6,0,10,4,20,0,1,1,12,2,Round 3,,,,,12.0
,PGG,25,5,1,9,1,4,2,2,1,17,0,19,0,Round 3,,,,,13.0
,BP,21,18,0,5,4,20,0,4,0,11,2,7,2,Round 3,,,,,14.0
,E8,21,7,3,12,1,5,0,9,1,5,0,14,1,Round 3,,,,,15.0
,CLX,19,10,4,13,0,18,0,18,0,20,0,3,5,Round 3,,,,,16.0
,GHOST,16,16,0,18,0,11,4,12,3,7,2,9,0,Round 3,,,,,17.0
,ERA,13,4,1,19,0,6,0,11,3,19,0,17,0,Round 3,,,,,18.0
,LZR,13,20,0,14,0,7,1,7,1,16,2,10,0,Round 3,,,,,19.0
,MOAN,2,8,0,17,0,17,0,16,0,18,0,18,0,Round 3,,,,,20.0
1.0,XSET,76,3,8,5,8,15,0,1,9,5,4,1,7,Round 4,,,,,
2.0,ESA,54,9,4,18,0,2,8,20,0,1,12,4,2,Round 4,,,,,
3.0,SSG,51,1,13,10,2,14,5,4,9,8,0,16,0,Round 4,,,,,
4.0,BBG,48,2,12,3,11,10,0,6,2,17,2,19,0,Round 4,,,,,
5.0,100T,45,14,0,2,8,7,3,2,5,9,3,12,1,Round 4,,,,,
6.0,FUR,45,5,2,4,3,19,0,5,6,2,7,6,2,Round 4,,,,,
7.0,SXG,43,15,6,11,0,3,16,11,4,10,0,13,4,Round 4,,,,,
8.0,COL,38,8,0,12,3,1,6,15,0,7,0,3,3,Round 4,,,,,
9.0,G2,35,13,2,16,0,5,4,18,0,3,7,8,8,Round 4,,,,,
10.0,DY,33,6,4,8,2,13,0,7,3,6,11,14,0,Round 4,,,,,
11.0,EST,32,16,2,1,8,16,0,9,0,4,0,11,2,Round 4,,,,,
12.0,RT,28,10,0,15,0,4,3,3,2,18,0,5,4,Round 4,,,,,
13.0,TOR,27,11,0,9,1,18,0,14,1,12,1,2,10,Round 4,,,,,
14.0,SEN,23,19,0,19,3,8,2,17,3,13,8,15,3,Round 4,,,,,
15.0,SNRS,21,4,0,17,0,17,1,12,8,20,0,10,4,Round 4,,,,,
16.0,NEAN,16,7,3,13,3,20,0,13,4,16,1,20,0,Round 4,,,,,
17.0,BAD,15,18,0,7,3,9,1,16,1,14,4,17,0,Round 4,,,,,
18.0,CLG,15,20,0,6,1,12,3,10,0,11,0,9,2,Round 4,,,,,
19.0,SHEESH,13,12,0,14,1,11,0,8,0,15,2,18,4,Round 4,,,,,
20.0,OXG,10,17,0,20,0,6,4,19,0,19,0,7,0,Round 4,,,,,
,NRG,63,1,15,1,7,9,2,13,7,10,0,19,3,Round 5,1.0,,,,
,G2,60,9,2,3,13,11,6,3,8,12,2,4,6,Round 5,2.0,,,,
,ESA,48,8,6,10,6,2,10,8,3,8,3,7,0,Round 5,3.0,,,,
,SSG,47,5,2,5,1,4,3,2,5,2,5,20,0,Round 5,4.0,,,,
,GHOST,44,2,8,16,0,20,0,19,0,1,14,15,0,Round 5,5.0,,,,
,UNL,39,7,1,9,3,3,3,16,3,5,6,11,6,Round 5,6.0,,,,
,NEAN,38,6,1,14,0,8,0,7,7,16,0,1,9,Round 5,7.0,,,,
,PGG,37,4,2,8,3,5,3,18,1,4,4,5,4,Round 5,8.0,,,,
,NBL,36,15,1,4,4,14,0,12,3,13,3,2,7,Round 5,9.0,,,,
,LZR,36,3,8,17,0,15,3,6,0,9,4,3,1,Round 5,10.0,,,,
,RNG,34,11,6,15,0,6,3,9,1,7,6,6,5,Round 5,11.0,,,,
,FUR,33,18,0,18,0,1,14,14,0,20,0,10,4,Round 5,12.0,,,,
,XSET,29,19,0,12,1,12,0,1,10,15,0,8,1,Round 5,13.0,,,,
,SHEESH,29,13,0,7,11,7,4,11,0,14,1,14,3,Round 5,14.0,,,,
,CLG,24,12,1,2,9,16,0,17,1,11,0,17,2,Round 5,15.0,,,,
,100T,20,16,0,20,0,10,2,4,2,6,5,18,1,Round 5,16.0,,,,
,BAD,16,14,3,13,0,17,0,15,0,3,3,16,0,Round 5,17.0,,,,
,BW,13,17,0,11,1,19,3,10,3,18,0,12,2,Round 5,18.0,,,,
,ERA,11,10,1,19,0,13,0,5,0,17,0,9,1,Round 5,19.0,,,,
,LMX,4,20,0,6,0,18,0,20,0,19,0,13,0,Round 5,20.0,,,,
,COL,76,1,10,6,4,20,0,1,13,9,2,2,9,Round 6,,1.0,,,
,SEN,66,3,7,2,6,9,3,14,8,10,6,5,11,Round 6,,2.0,,,
,DY,55,11,5,8,3,1,7,4,5,2,6,20,0,Round 6,,3.0,,,
,TSM,48,19,0,18,0,8,5,8,3,4,9,1,10,Round 6,,4.0,,,
,BBG,48,15,2,3,9,4,13,7,3,11,3,14,0,Round 6,,5.0,,,
,CLX,35,2,5,7,7,13,2,6,3,20,0,8,0,Round 6,,6.0,,,
,OXG,35,5,3,5,3,3,4,5,3,13,0,10,0,Round 6,,7.0,,,
,PK,34,6,0,1,9,18,0,20,0,12,5,13,3,Round 6,,8.0,,,
,AM,31,12,2,11,3,15,3,12,0,8,5,3,5,Round 6,,9.0,,,
,E8,30,8,1,16,0,2,1,11,3,7,0,4,5,Round 6,,10.0,,,
,TOR,30,4,5,9,3,12,3,9,0,19,0,7,6,Round 6,,11.0,,,
,BP,28,10,0,4,4,14,0,2,6,17,0,15,0,Round 6,,12.0,,,
,SXG,27,9,7,13,4,5,7,17,0,14,1,17,0,Round 6,,13.0,,,
,SNRS,27,13,0,10,1,7,0,13,0,1,6,12,0,Round 6,,14.0,,,
,EST,25,20,0,17,0,6,5,15,0,5,5,16,7,Round 6,,15.0,,,
,TL,24,17,0,19,0,10,1,10,4,6,7,9,3,Round 6,,16.0,,,
,CLT,21,14,1,20,0,11,0,3,7,16,1,6,0,Round 6,,17.0,,,
,C9,20,18,2,14,1,17,4,18,4,3,1,18,0,Round 6,,18.0,,,
,MOAN,13,7,7,12,1,19,0,16,0,15,0,19,0,Round 6,,19.0,,,
,RT,3,16,0,15,0,16,0,19,1,18,0,11,0,Round 6,,20.0,,,
,SEN,87,6,7,1,10,1,4,14,8,2,14,8,5,Round 7,,,1.0,,
,COL,51,3,4,3,9,8,4,13,6,4,3,14,2,Round 7,,,2.0,,
,NRG,49,1,7,6,2,6,7,15,0,16,6,3,1,Round 7,,,3.0,,
,PGG,47,13,3,9,4,3,8,12,2,1,7,18,0,Round 7,,,4.0,,
,TOR,47,18,0,4,6,5,3,10,0,8,1,1,12,Round 7,,,5.0,,
,EST,43,12,3,2,1,12,0,3,9,13,2,4,4,Round 7,,,6.0,,
,OXG,42,10,2,16,0,2,3,5,2,6,5,2,3,Round 7,,,7.0,,
,RNG,39,14,2,7,7,15,9,4,2,5,4,13,0,Round 7,,,8.0,,
,SNRS,37,2,10,8,0,16,2,19,1,18,0,5,9,Round 7,,,9.0,,
,GHOST,28,17,0,11,0,7,3,1,6,15,0,9,0,Round 7,,,10.0,,
,LZR,27,7,3,15,0,11,1,2,4,10,0,10,1,Round 7,,,11.0,,
,LMX,24,8,3,13,2,9,5,9,3,19,0,6,1,Round 7,,,12.0,,
,UNL,23,4,4,18,0,13,1,11,2,12,5,16,3,Round 7,,,13.0,,
,NBL,23,9,1,17,0,4,3,8,3,9,2,12,2,Round 7,,,14.0,,
,DY,20,15,0,10,1,14,1,6,0,7,0,7,5,Round 7,,,15.0,,
,ERA,16,11,1,14,0,10,0,16,0,3,4,17,0,Round 7,,,16.0,,
,RT,15,16,0,5,2,19,0,7,6,17,0,19,0,Round 7,,,17.0,,
,BBG,13,5,4,19,0,17,0,17,0,14,0,15,3,Round 7,,,18.0,,
,SXG,12,19,0,12,6,18,0,18,1,11,2,11,0,Round 7,,,19.0,,
,BW,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 7,,,20.0,,
,ESA,67,10,0,12,0,1,9,3,8,1,15,17,1,Round 8,,,,1.0,
,TSM,62,2,10,6,8,9,6,11,7,2,5,10,0,Round 8,,,,2.0,
,G2,47,9,6,17,0,11,0,1,14,8,7,18,3,Round 8,,,,3.0,
,100T,46,1,13,8,1,12,3,4,6,18,0,6,0,Round 8,,,,4.0,
,TL,44,3,8,2,6,8,4,6,0,14,0,7,1,Round 8,,,,5.0,
,XSET,41,4,3,3,6,4,3,14,1,6,5,9,0,Round 8,,,,6.0,
,BAD,40,6,0,4,5,10,1,19,0,9,0,1,10,Round 8,,,,7.0,
,C9,36,11,3,1,7,17,0,9,3,15,0,8,5,Round 8,,,,8.0,
,BP,36,13,0,13,4,13,1,2,5,3,4,11,2,Round 8,,,,9.0,
,FUR,34,18,0,16,7,18,0,7,2,13,4,2,8,Round 8,,,,10.0,
,SSG,30,15,0,11,5,5,5,12,1,4,5,13,1,Round 8,,,,11.0,
,NEAN,27,14,1,15,0,7,6,13,2,5,1,12,6,Round 8,,,,12.0,
,CLT,27,7,3,5,1,14,0,8,0,17,0,4,8,Round 8,,,,13.0,
,PK,27,16,1,9,0,2,6,15,0,7,4,14,0,Round 8,,,,14.0,
,AM,26,5,3,7,2,19,0,10,1,12,0,3,3,Round 8,,,,15.0,
,E8,21,12,1,18,0,6,3,5,5,10,0,15,1,Round 8,,,,16.0,
,MOAN,13,19,0,14,0,3,1,18,0,11,2,16,1,Round 8,,,,17.0,
,CLX,11,17,0,10,3,15,5,17,0,16,0,19,0,Round 8,,,,18.0,
,CLG,9,8,0,19,0,16,0,16,1,19,0,5,2,Round 8,,,,19.0,
,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 8,,,,20.0,
,PK,60,5,5,16,3,19,0,2,11,1,10,8,4,Round 9,,,,,1.0
,NRG,53,13,4,12,0,6,8,6,1,6,3,1,14,Round 9,,,,,2.0
,LZR,53,6,4,7,3,2,8,12,1,4,5,4,6,Round 9,,,,,3.0
,PGG,50,7,3,11,0,1,6,4,1,5,5,2,1,Round 9,,,,,4.0
,TL,44,12,0,2,7,9,2,3,2,8,7,14,4,Round 9,,,,,5.0
,TSM,42,2,6,6,4,17,1,13,0,7,2,3,6,Round 9,,,,,6.0
,GHOST,40,8,4,8,2,12,0,1,12,9,3,17,0,Round 9,,,,,7.0
,LMX,37,1,8,5,3,10,0,14,2,14,0,6,1,Round 9,,,,,8.0
,AM,36,18,0,4,9,3,9,9,1,17,0,15,2,Round 9,,,,,9.0
,C9,35,19,0,1,11,8,3,11,1,15,0,10,2,Round 9,,,,,10.0
,RNG,26,4,8,10,5,16,1,17,0,11,3,19,1,Round 9,,,,,11.0
,CLT,26,3,4,18,1,13,0,8,6,12,1,12,2,Round 9,,,,,12.0
,MOAN,25,17,0,3,6,5,7,15,0,16,0,18,0,Round 9,,,,,13.0
,UNL,25,14,2,13,0,14,1,7,4,3,4,11,0,Round 9,,,,,14.0
,NBL,24,10,1,15,0,15,0,5,3,18,0,5,8,Round 9,,,,,15.0
,E8,21,16,0,9,0,11,0,19,0,2,7,9,0,Round 9,,,,,16.0
,CLX,20,15,2,19,0,7,3,16,6,13,3,13,0,Round 9,,,,,17.0
,BP,18,9,0,14,0,4,4,18,1,19,0,7,2,Round 9,,,,,18.0
,ERA,16,11,3,17,0,18,1,10,1,10,6,16,0,Round 9,,,,,19.0
,BW,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,,,,,20.0
